" u "," y "
0.17587,0.722
0.17693,0.723
0.178,0.724
0.17907,0.725
0.18014,0.726
0.18122,0.727
0.18229,0.728
0.18337,0.729
0.18445,0.73
0.18553,0.731
0.18662,0.732
0.18771,0.733
0.18879,0.734
0.18989,0.735
0.19098,0.736
0.19208,0.737
0.19317,0.738
0.19427,0.739
0.19538,0.74
0.19648,0.741
0.19758,0.742
0.19869,0.743
0.19981,0.744
0.20092,0.745
0.20203,0.746
0.20315,0.747
0.20427,0.748
0.20539,0.749
0.20651,0.75
0.20764,0.751
0.20877,0.752
0.2099,0.753
0.21104,0.754
0.21217,0.755
0.21331,0.756
0.21445,0.757
0.21559,0.758
0.21674,0.759
0.21789,0.76
0.21904,0.761
0.22019,0.762
0.22135,0.763
0.2225,0.764
0.22366,0.765
0.22482,0.766
0.22599,0.767
0.22716,0.768
0.22833,0.769
0.2295,0.77
0.23067,0.771
0.23185,0.772
0.23303,0.773
0.23421,0.774
0.23539,0.775
0.23658,0.776
0.23777,0.777
0.23896,0.778
0.24016,0.779
0.24135,0.78
0.24255,0.781
0.24375,0.782
0.24496,0.783
0.24617,0.784
0.24737,0.785
0.24859,0.786
0.2498,0.787
0.25102,0.788
0.25224,0.789
0.25346,0.79
0.25469,0.791
0.25591,0.792
0.25714,0.793
0.25838,0.794
0.25961,0.795
0.26085,0.796
0.26209,0.797
0.26334,0.798
0.26458,0.799
0.26583,0.8
0.26708,0.801
0.26834,0.802
0.2696,0.803
0.27085,0.804
0.27211,0.805
0.27338,0.806
0.27465,0.807
0.27592,0.808
0.27719,0.809
0.27847,0.81
0.27975,0.811
0.28103,0.812
0.28231,0.813
0.2836,0.814
0.28489,0.815
0.28618,0.816
0.28748,0.817
0.28878,0.818
0.29008,0.819
0.29138,0.82
0.29269,0.821
0.29401,0.822
0.29532,0.823
0.29663,0.824
0.29795,0.825
0.29928,0.826
0.3006,0.827
0.30192,0.828
0.30326,0.829
0.30459,0.83
0.30593,0.831
0.30727,0.832
0.30861,0.833
0.30996,0.834
0.31131,0.835
0.31266,0.836
0.31402,0.837
0.31538,0.838
0.31674,0.839
0.3181,0.84
0.31948,0.841
0.32085,0.842
0.32223,0.843
0.3236,0.844
0.32499,0.845
0.32638,0.846
0.32777,0.847
0.32916,0.848
0.33056,0.849
0.33197,0.85
0.33337,0.851
0.33478,0.852
0.3362,0.853
0.33762,0.854
0.33903,0.855
0.34046,0.856
0.34189,0.857
